kind,model_key,condition,train_dataset,seed,benchmark,path,n,correct,accuracy,wilson_low,wilson_high
base,falcon_h1_0_5b_base,__base__,base,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/falcon_h1_0_5b_base__base__arc_challenge.jsonl,299,222,0.7424749163879598,0.6900549564681313,0.7887434239275044
base,falcon_h1_0_5b_base,__base__,base,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/falcon_h1_0_5b_base__base__gsm8k.jsonl,256,98,0.3828125,0.3254185065983358,0.4436714597514778
base,falcon_h1_0_5b_base,__base__,base,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/falcon_h1_0_5b_base__base__hellaswag.jsonl,512,169,0.330078125,0.2907439558701836,0.3719431022856398
base,falcon_h1_0_5b_base,__base__,base,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/falcon_h1_0_5b_base__base__mmlu.jsonl,512,265,0.517578125,0.4743257644991892,0.5605686777605532
base,qwen3_5_0_8b_base,__base__,base,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/qwen3_5_0_8b_base__base__arc_challenge.jsonl,299,219,0.7324414715719063,0.6795477469302283,0.7794382866904156
base,qwen3_5_0_8b_base,__base__,base,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/qwen3_5_0_8b_base__base__gsm8k.jsonl,128,38,0.296875,0.22458166083566666,0.3810052276504461
base,qwen3_5_0_8b_base,__base__,base,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/qwen3_5_0_8b_base__base__hellaswag.jsonl,512,213,0.416015625,0.37410155791100497,0.45918055129244795
base,qwen3_5_0_8b_base,__base__,base,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/qwen3_5_0_8b_base__base__mmlu.jsonl,512,247,0.482421875,0.4394313222394468,0.5256742355008108
train,falcon_h1_0_5b_base,all_eligible,codealpaca,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__codealpaca__seed3407__inline_eval__arc_challenge.jsonl,299,217,0.725752508361204,0.6725608423246756,0.7732169601126404
train,falcon_h1_0_5b_base,all_eligible,codealpaca,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__codealpaca__seed3407__inline_eval__gsm8k.jsonl,256,92,0.359375,0.30307650360756977,0.4198314560122066
train,falcon_h1_0_5b_base,all_eligible,codealpaca,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__codealpaca__seed3407__inline_eval__hellaswag.jsonl,512,161,0.314453125,0.2757440988618599,0.35592567728530355
train,falcon_h1_0_5b_base,all_eligible,codealpaca,3407,humaneval,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__codealpaca__seed3407__inline_eval__humaneval.jsonl,157,0,0.0,0.0,0.023883511433308864
train,falcon_h1_0_5b_base,all_eligible,codealpaca,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__codealpaca__seed3407__inline_eval__mmlu.jsonl,512,264,0.515625,0.4723816267229168,0.5586356552857431
train,falcon_h1_0_5b_base,all_eligible,gsm8k_train,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__gsm8k_train__seed3407__inline_eval__arc_challenge.jsonl,299,213,0.7123745819397993,0.658628554423782,0.7607327856468784
train,falcon_h1_0_5b_base,all_eligible,gsm8k_train,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__gsm8k_train__seed3407__inline_eval__gsm8k.jsonl,256,129,0.50390625,0.4430558870480185,0.5646411140736544
train,falcon_h1_0_5b_base,all_eligible,gsm8k_train,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__gsm8k_train__seed3407__inline_eval__hellaswag.jsonl,512,155,0.302734375,0.2645283218401122,0.3438784928005564
train,falcon_h1_0_5b_base,all_eligible,gsm8k_train,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__gsm8k_train__seed3407__inline_eval__mmlu.jsonl,512,264,0.515625,0.4723816267229168,0.5586356552857431
train,falcon_h1_0_5b_base,all_eligible,ultrachat,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__ultrachat__seed3407__inline_eval__arc_challenge.jsonl,299,218,0.7290969899665551,0.6760525322981806,0.7763293857307995
train,falcon_h1_0_5b_base,all_eligible,ultrachat,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__ultrachat__seed3407__inline_eval__gsm8k.jsonl,256,110,0.4296875,0.37052769163836163,0.4909262881715265
train,falcon_h1_0_5b_base,all_eligible,ultrachat,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__ultrachat__seed3407__inline_eval__hellaswag.jsonl,512,147,0.287109375,0.24962121454230693,0.32776831808970175
train,falcon_h1_0_5b_base,all_eligible,ultrachat,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__ultrachat__seed3407__inline_eval__mmlu.jsonl,512,261,0.509765625,0.46655313914706253,0.5528326621083499
train,falcon_h1_0_5b_base,attention_only,codealpaca,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_only__codealpaca__seed3407__inline_eval__arc_challenge.jsonl,299,221,0.7391304347826086,0.6865489158065625,0.7856453489974093
train,falcon_h1_0_5b_base,attention_only,codealpaca,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_only__codealpaca__seed3407__inline_eval__gsm8k.jsonl,256,100,0.390625,0.33289789371255574,0.45158607488060365
train,falcon_h1_0_5b_base,attention_only,codealpaca,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_only__codealpaca__seed3407__inline_eval__hellaswag.jsonl,512,172,0.3359375,0.29638194609723306,0.37793659281183783
train,falcon_h1_0_5b_base,attention_only,codealpaca,3407,humaneval,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_only__codealpaca__seed3407__inline_eval__humaneval.jsonl,164,0,0.0,0.0,0.022887425119427582
train,falcon_h1_0_5b_base,attention_only,codealpaca,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_only__codealpaca__seed3407__inline_eval__mmlu.jsonl,512,263,0.513671875,0.47043814338260587,0.5567019783749716
train,falcon_h1_0_5b_base,attention_only,gsm8k_train,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_only__gsm8k_train__seed3407__inline_eval__arc_challenge.jsonl,299,219,0.7324414715719063,0.6795477469302283,0.7794382866904156
train,falcon_h1_0_5b_base,attention_only,gsm8k_train,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_only__gsm8k_train__seed3407__inline_eval__gsm8k.jsonl,256,142,0.5546875,0.4934438909769816,0.6143141247264388
train,falcon_h1_0_5b_base,attention_only,gsm8k_train,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_only__gsm8k_train__seed3407__inline_eval__hellaswag.jsonl,512,164,0.3203125,0.2813630427373133,0.3619382141630977
train,falcon_h1_0_5b_base,attention_only,gsm8k_train,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_only__gsm8k_train__seed3407__inline_eval__mmlu.jsonl,512,257,0.501953125,0.4587909760864277,0.5450861841646548
train,falcon_h1_0_5b_base,attention_only,ultrachat,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_only__ultrachat__seed3407__inline_eval__arc_challenge.jsonl,299,220,0.7357859531772575,0.6830465272759841,0.7825436219363237
train,falcon_h1_0_5b_base,attention_only,ultrachat,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_only__ultrachat__seed3407__inline_eval__gsm8k.jsonl,256,124,0.484375,0.4238408093138977,0.5453711861994108
train,falcon_h1_0_5b_base,attention_only,ultrachat,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_only__ultrachat__seed3407__inline_eval__hellaswag.jsonl,512,161,0.314453125,0.2757440988618599,0.35592567728530355
train,falcon_h1_0_5b_base,attention_only,ultrachat,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_only__ultrachat__seed3407__inline_eval__mmlu.jsonl,512,260,0.5078125,0.46461161789502853,0.5508970231093013
train,falcon_h1_0_5b_base,attention_plus_mlp,codealpaca,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407__inline_eval__arc_challenge.jsonl,299,218,0.7290969899665551,0.6760525322981806,0.7763293857307995
train,falcon_h1_0_5b_base,attention_plus_mlp,codealpaca,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407__inline_eval__gsm8k.jsonl,256,93,0.36328125,0.3067900082905613,0.4238149524508879
train,falcon_h1_0_5b_base,attention_plus_mlp,codealpaca,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407__inline_eval__hellaswag.jsonl,512,163,0.318359375,0.2794892534474917,0.35993484320183683
train,falcon_h1_0_5b_base,attention_plus_mlp,codealpaca,3407,humaneval,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407__inline_eval__humaneval.jsonl,164,0,0.0,0.0,0.022887425119427582
train,falcon_h1_0_5b_base,attention_plus_mlp,codealpaca,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407__inline_eval__mmlu.jsonl,512,259,0.505859375,0.46267075036527133,0.5489607303879761
train,falcon_h1_0_5b_base,attention_plus_mlp,gsm8k_train,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__gsm8k_train__seed3407__inline_eval__arc_challenge.jsonl,299,212,0.7090301003344481,0.6551539177245007,0.7576033067544956
train,falcon_h1_0_5b_base,attention_plus_mlp,gsm8k_train,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__gsm8k_train__seed3407__inline_eval__gsm8k.jsonl,256,126,0.4921875,0.43151586938966136,0.5530901283669929
train,falcon_h1_0_5b_base,attention_plus_mlp,gsm8k_train,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__gsm8k_train__seed3407__inline_eval__hellaswag.jsonl,512,167,0.326171875,0.2869892121795722,0.36794352547408626
train,falcon_h1_0_5b_base,attention_plus_mlp,gsm8k_train,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__gsm8k_train__seed3407__inline_eval__mmlu.jsonl,512,261,0.509765625,0.46655313914706253,0.5528326621083499
train,falcon_h1_0_5b_base,attention_plus_mlp,ultrachat,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__ultrachat__seed3407__inline_eval__arc_challenge.jsonl,299,218,0.7290969899665551,0.6760525322981806,0.7763293857307995
train,falcon_h1_0_5b_base,attention_plus_mlp,ultrachat,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__ultrachat__seed3407__inline_eval__gsm8k.jsonl,256,126,0.4921875,0.43151586938966136,0.5530901283669929
train,falcon_h1_0_5b_base,attention_plus_mlp,ultrachat,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__ultrachat__seed3407__inline_eval__hellaswag.jsonl,512,149,0.291015625,0.25334281371732637,0.33180103941684724
train,falcon_h1_0_5b_base,attention_plus_mlp,ultrachat,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__ultrachat__seed3407__inline_eval__mmlu.jsonl,512,256,0.5,0.45685206921855137,0.5431479307814486
train,falcon_h1_0_5b_base,mlp_only,codealpaca,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__codealpaca__seed3407__inline_eval__arc_challenge.jsonl,299,219,0.7324414715719063,0.6795477469302283,0.7794382866904156
train,falcon_h1_0_5b_base,mlp_only,codealpaca,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__codealpaca__seed3407__inline_eval__gsm8k.jsonl,256,82,0.3203125,0.26617385334096993,0.3797640950620776
train,falcon_h1_0_5b_base,mlp_only,codealpaca,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__codealpaca__seed3407__inline_eval__hellaswag.jsonl,512,160,0.3125,0.27387274156086244,0.3539198743352186
train,falcon_h1_0_5b_base,mlp_only,codealpaca,3407,humaneval,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__codealpaca__seed3407__inline_eval__humaneval.jsonl,164,0,0.0,0.0,0.022887425119427582
train,falcon_h1_0_5b_base,mlp_only,codealpaca,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__codealpaca__seed3407__inline_eval__mmlu.jsonl,512,262,0.51171875,0.4684953142550904,0.5547676472514046
train,falcon_h1_0_5b_base,mlp_only,gsm8k_train,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__gsm8k_train__seed3407__inline_eval__arc_challenge.jsonl,299,212,0.7090301003344481,0.6551539177245007,0.7576033067544956
train,falcon_h1_0_5b_base,mlp_only,gsm8k_train,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__gsm8k_train__seed3407__inline_eval__gsm8k.jsonl,256,130,0.5078125,0.44690987163300716,0.5684841306103388
train,falcon_h1_0_5b_base,mlp_only,gsm8k_train,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__gsm8k_train__seed3407__inline_eval__hellaswag.jsonl,512,167,0.326171875,0.2869892121795722,0.36794352547408626
train,falcon_h1_0_5b_base,mlp_only,gsm8k_train,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__gsm8k_train__seed3407__inline_eval__mmlu.jsonl,512,259,0.505859375,0.46267075036527133,0.5489607303879761
train,falcon_h1_0_5b_base,mlp_only,ultrachat,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__ultrachat__seed3407__inline_eval__arc_challenge.jsonl,299,217,0.725752508361204,0.6725608423246756,0.7732169601126404
train,falcon_h1_0_5b_base,mlp_only,ultrachat,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__ultrachat__seed3407__inline_eval__gsm8k.jsonl,256,120,0.46875,0.4085346505933857,0.5298893404332313
train,falcon_h1_0_5b_base,mlp_only,ultrachat,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__ultrachat__seed3407__inline_eval__hellaswag.jsonl,512,150,0.29296875,0.2552049202048361,0.33381609318042005
train,falcon_h1_0_5b_base,mlp_only,ultrachat,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__ultrachat__seed3407__inline_eval__mmlu.jsonl,512,260,0.5078125,0.46461161789502853,0.5508970231093013
train,falcon_h1_0_5b_base,ssm_only,codealpaca,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__codealpaca__seed3407__inline_eval__arc_challenge.jsonl,299,218,0.7290969899665551,0.6760525322981806,0.7763293857307995
train,falcon_h1_0_5b_base,ssm_only,codealpaca,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__codealpaca__seed3407__inline_eval__gsm8k.jsonl,256,82,0.3203125,0.26617385334096993,0.3797640950620776
train,falcon_h1_0_5b_base,ssm_only,codealpaca,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__codealpaca__seed3407__inline_eval__hellaswag.jsonl,512,167,0.326171875,0.2869892121795722,0.36794352547408626
train,falcon_h1_0_5b_base,ssm_only,codealpaca,3407,humaneval,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__codealpaca__seed3407__inline_eval__humaneval.jsonl,164,0,0.0,0.0,0.022887425119427582
train,falcon_h1_0_5b_base,ssm_only,codealpaca,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__codealpaca__seed3407__inline_eval__mmlu.jsonl,512,265,0.517578125,0.4743257644991892,0.5605686777605532
train,falcon_h1_0_5b_base,ssm_only,gsm8k_train,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__gsm8k_train__seed3407__inline_eval__arc_challenge.jsonl,299,218,0.7290969899665551,0.6760525322981806,0.7763293857307995
train,falcon_h1_0_5b_base,ssm_only,gsm8k_train,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__gsm8k_train__seed3407__inline_eval__gsm8k.jsonl,256,120,0.46875,0.4085346505933857,0.5298893404332313
train,falcon_h1_0_5b_base,ssm_only,gsm8k_train,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__gsm8k_train__seed3407__inline_eval__hellaswag.jsonl,512,156,0.3046875,0.26639554250826725,0.3458884323834839
train,falcon_h1_0_5b_base,ssm_only,gsm8k_train,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__gsm8k_train__seed3407__inline_eval__mmlu.jsonl,512,268,0.5234375,0.48016210712441953,0.5663638158885704
train,falcon_h1_0_5b_base,ssm_only,ultrachat,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__ultrachat__seed3407__inline_eval__arc_challenge.jsonl,299,221,0.7391304347826086,0.6865489158065625,0.7856453489974093
train,falcon_h1_0_5b_base,ssm_only,ultrachat,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__ultrachat__seed3407__inline_eval__gsm8k.jsonl,256,125,0.48828125,0.4276765099686914,0.5492324866662899
train,falcon_h1_0_5b_base,ssm_only,ultrachat,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__ultrachat__seed3407__inline_eval__hellaswag.jsonl,512,157,0.306640625,0.26826359920760706,0.3478975359352265
train,falcon_h1_0_5b_base,ssm_only,ultrachat,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__ultrachat__seed3407__inline_eval__mmlu.jsonl,512,265,0.517578125,0.4743257644991892,0.5605686777605532
train,falcon_h1_0_5b_base,ssm_plus_mlp,codealpaca,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_plus_mlp__codealpaca__seed3407__inline_eval__arc_challenge.jsonl,299,217,0.725752508361204,0.6725608423246756,0.7732169601126404
train,falcon_h1_0_5b_base,ssm_plus_mlp,codealpaca,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_plus_mlp__codealpaca__seed3407__inline_eval__gsm8k.jsonl,256,90,0.3515625,0.295661910800322,0.41185204657610863
train,falcon_h1_0_5b_base,ssm_plus_mlp,codealpaca,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_plus_mlp__codealpaca__seed3407__inline_eval__hellaswag.jsonl,512,162,0.31640625,0.27761627083576784,0.35793066556247816
train,falcon_h1_0_5b_base,ssm_plus_mlp,codealpaca,3407,humaneval,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_plus_mlp__codealpaca__seed3407__inline_eval__humaneval.jsonl,164,0,0.0,0.0,0.022887425119427582
train,falcon_h1_0_5b_base,ssm_plus_mlp,codealpaca,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_plus_mlp__codealpaca__seed3407__inline_eval__mmlu.jsonl,512,266,0.51953125,0.47627055696449766,0.5625010455463273
train,falcon_h1_0_5b_base,ssm_plus_mlp,gsm8k_train,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_plus_mlp__gsm8k_train__seed3407__inline_eval__arc_challenge.jsonl,299,213,0.7123745819397993,0.658628554423782,0.7607327856468784
train,falcon_h1_0_5b_base,ssm_plus_mlp,gsm8k_train,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_plus_mlp__gsm8k_train__seed3407__inline_eval__gsm8k.jsonl,256,130,0.5078125,0.44690987163300716,0.5684841306103388
train,falcon_h1_0_5b_base,ssm_plus_mlp,gsm8k_train,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_plus_mlp__gsm8k_train__seed3407__inline_eval__hellaswag.jsonl,512,157,0.306640625,0.26826359920760706,0.3478975359352265
